URLs,subdirectory1,subdirectory2,subdirectory3,subdirectory4
https://www.tradingview.com/chart/OTHERS.D/ujZcTUuI-Alt-Seasson-in-Play-Bitcoin-should-underperorm-most-alt-coins/,chart,OTHERS.D,ujZcTUuI-Alt-Seasson-in-Play-Bitcoin-should-underperorm-most-alt-coins,
https://www.tradingview.com/chart/BTCUSD/GIZFMRf4-One-last-time-to-MA200-before-the-rally-can-start/,chart,BTCUSD,GIZFMRf4-One-last-time-to-MA200-before-the-rally-can-start,
https://www.tradingview.com/chart/SNAP/y2Im0xFS-SNAP-vs-TWTR/,chart,SNAP,y2Im0xFS-SNAP-vs-TWTR,
https://www.tradingview.com/chart/DXY/TM2OHUSw-The-Speculative-Dictation-from-the-SPX-to-FX/,chart,DXY,TM2OHUSw-The-Speculative-Dictation-from-the-SPX-to-FX,
https://www.tradingview.com/chart/NAS100USD/JB87p7yk-Treat-Your-Trading-Like-A-Business/,chart,NAS100USD,JB87p7yk-Treat-Your-Trading-Like-A-Business,
https://www.tradingview.com/chart/AMD/ESW3ra4S-A-basic-guide-to-support-and-resistance/,chart,AMD,ESW3ra4S-A-basic-guide-to-support-and-resistance,
https://www.tradingview.com/chart/USDCAD/0WORCsgQ-USDCAD-SENTIMENT-FUNDAMENTAL-DIVERGENCE/,chart,USDCAD,0WORCsgQ-USDCAD-SENTIMENT-FUNDAMENTAL-DIVERGENCE,
https://www.tradingview.com/chart/XAGUSD/CC5WDbTF-SILVER-XAGUSD-Multi-Time-Frame-Analysis-Bearish-Forecast/,chart,XAGUSD,CC5WDbTF-SILVER-XAGUSD-Multi-Time-Frame-Analysis-Bearish-Forecast,
https://www.tradingview.com/chart/XBTUSD/DkdkFYRp-Why-Social-Trading-Is-a-Good-Solution-for-Novice-Traders/,chart,XBTUSD,DkdkFYRp-Why-Social-Trading-Is-a-Good-Solution-for-Novice-Traders,
https://www.tradingview.com/chart/EURJPY/V38p2p2U-EURJPY-TRADE-IDEA-Looking-for-Second-Opinions/,chart,EURJPY,V38p2p2U-EURJPY-TRADE-IDEA-Looking-for-Second-Opinions,
https://www.tradingview.com/chart/NDX/MMfAAUkr-A-Simplified-View-of-the-Stock-Market-SPY-NDX/,chart,NDX,MMfAAUkr-A-Simplified-View-of-the-Stock-Market-SPY-NDX,
https://www.tradingview.com/chart/NG1!/L8i76Utf-Natural-Gas-Weekly-Cycle-Update/,chart,NG1!,L8i76Utf-Natural-Gas-Weekly-Cycle-Update,
https://www.tradingview.com/chart/BTCUSD/b6Qbn8ee-BTCUSD-Trendlines-do-work-Simple-yet-effective/,chart,BTCUSD,b6Qbn8ee-BTCUSD-Trendlines-do-work-Simple-yet-effective,
https://www.tradingview.com/chart/AMZN/jING0osQ-The-OOPS-Pattern/,chart,AMZN,jING0osQ-The-OOPS-Pattern,
https://www.tradingview.com/chart/BTCUSD/R0sMD4D0-Indicator-Templates-What-are-they-and-how-do-you-use-them/,chart,BTCUSD,R0sMD4D0-Indicator-Templates-What-are-they-and-how-do-you-use-them,
https://www.tradingview.com/chart/EURUSD/V1ETsFHE-TradingView-Keyboard-ShortCuts-Tips-and-Secrets/,chart,EURUSD,V1ETsFHE-TradingView-Keyboard-ShortCuts-Tips-and-Secrets,
https://www.tradingview.com/chart/AMD/0b7BvxKX-Possible-buy-opportunity/,chart,AMD,0b7BvxKX-Possible-buy-opportunity,
